Generation number,Best fitness,Best genome,Worst fitness,Worst genome,Mean,Average,Standard deviation
10,108.10503387451172,"Genome{fitness:108.10503387451172,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",108.98744201660156,"Genome{fitness:108.98744201660156,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:166},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.40469131801347524},IntegerGene{label:hidden_2_units,min:10,max:250,val:203},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.28641745704383575},IntegerGene{label:batch_size,min:100,max:400,val:126},]}",108.47954521179199,108.47954521179199,0.228247025327852
11,108.10503387451172,"Genome{fitness:108.10503387451172,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",108.64942169189453,"Genome{fitness:108.64942169189453,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25021958136633626},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",108.36219215393066,108.36219215393066,0.12205369363847997
12,108.10503387451172,"Genome{fitness:108.10503387451172,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",108.53270721435547,"Genome{fitness:108.53270721435547,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:242},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:196},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",108.30298919677735,108.30298919677735,0.10965564642421008
13,107.96440124511719,"Genome{fitness:107.96440124511719,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:236},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05921877684620268},IntegerGene{label:batch_size,min:100,max:400,val:100},]}",109.79106140136719,"Genome{fitness:109.79106140136719,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:222},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.13507013938526374},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:100},]}",108.38905181884766,108.38905181884766,0.4042979371317788
14,107.92843627929688,"Genome{fitness:107.92843627929688,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",109.07615661621094,"Genome{fitness:109.07615661621094,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:74},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.059903533992628696},IntegerGene{label:batch_size,min:100,max:400,val:237},]}",108.33078536987304,108.33078536987304,0.27956160147945536
15,107.92843627929688,"Genome{fitness:107.92843627929688,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",109.309814453125,"Genome{fitness:109.309814453125,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.21886912703811356},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:116},]}",108.31453132629395,108.31453132629395,0.2913265135088763
16,107.92843627929688,"Genome{fitness:107.92843627929688,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",110.54939270019531,"Genome{fitness:110.54939270019531,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:194},]}",108.37413520812989,108.37413520812989,0.528961718633188
17,107.92843627929688,"Genome{fitness:107.92843627929688,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",108.80792999267578,"Genome{fitness:108.80792999267578,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:217},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.40469131801347524},IntegerGene{label:hidden_2_units,min:10,max:250,val:224},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",108.2496379852295,108.2496379852295,0.18132444854353713
18,107.92843627929688,"Genome{fitness:107.92843627929688,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",112.77742767333984,"Genome{fitness:112.77742767333984,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:236},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.13507013938526374},IntegerGene{label:hidden_2_units,min:10,max:250,val:209},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.3086232149670224},IntegerGene{label:batch_size,min:100,max:400,val:145},]}",108.4364559173584,108.4364559173584,1.0050428562447655
19,107.92843627929688,"Genome{fitness:107.92843627929688,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",108.742431640625,"Genome{fitness:108.742431640625,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:236},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.21159224003819177},IntegerGene{label:hidden_2_units,min:10,max:250,val:245},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",108.27643623352051,108.27643623352051,0.23072709748101677
20,107.92843627929688,"Genome{fitness:107.92843627929688,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",110.258056640625,"Genome{fitness:110.258056640625,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:242},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.13507013938526374},IntegerGene{label:hidden_2_units,min:10,max:250,val:191},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",108.34482879638672,108.34482879638672,0.4877473077748552
21,107.92843627929688,"Genome{fitness:107.92843627929688,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",108.77439880371094,"Genome{fitness:108.77439880371094,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:242},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25377484466197875},IntegerGene{label:hidden_2_units,min:10,max:250,val:245},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:100},]}",108.24238739013671,108.24238739013671,0.2143148398482254
22,107.92843627929688,"Genome{fitness:107.92843627929688,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",109.50907135009766,"Genome{fitness:109.50907135009766,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:148},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:116},]}",108.26533088684081,108.26533088684081,0.3335990278140992
23,107.92843627929688,"Genome{fitness:107.92843627929688,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",110.25687408447266,"Genome{fitness:110.25687408447266,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:74},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.3903305840551452},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.059903533992628696},IntegerGene{label:batch_size,min:100,max:400,val:257},]}",108.30986557006835,108.30986557006835,0.4855465911016273
24,107.92843627929688,"Genome{fitness:107.92843627929688,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",108.96884155273438,"Genome{fitness:108.96884155273438,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.2747894612596556},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",108.23430366516114,108.23430366516114,0.24279251977738234
25,107.92843627929688,"Genome{fitness:107.92843627929688,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",109.0929946899414,"Genome{fitness:109.0929946899414,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:236},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:250},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:100},]}",108.26879844665527,108.26879844665527,0.33202756385716153
26,107.92843627929688,"Genome{fitness:107.92843627929688,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",109.35384368896484,"Genome{fitness:109.35384368896484,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.0915862702542776},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",108.25064544677734,108.25064544677734,0.3343701358757086
27,107.92843627929688,"Genome{fitness:107.92843627929688,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",108.80486297607422,"Genome{fitness:108.80486297607422,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:245},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",108.21063957214355,108.21063957214355,0.23107255638829957
28,107.92843627929688,"Genome{fitness:107.92843627929688,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",109.63494873046875,"Genome{fitness:109.63494873046875,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:205},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.23185592176412245},IntegerGene{label:batch_size,min:100,max:400,val:170},]}",108.1988410949707,108.1988410949707,0.34138487573015874
29,107.92843627929688,"Genome{fitness:107.92843627929688,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",109.37259674072266,"Genome{fitness:109.37259674072266,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:208},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:177},]}",108.26511917114257,108.26511917114257,0.36453667319387506
30,107.82305908203125,"Genome{fitness:107.82305908203125,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:122},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",109.4178466796875,"Genome{fitness:109.4178466796875,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:170},]}",108.20752067565918,108.20752067565918,0.3337792501170372
31,107.79804229736328,"Genome{fitness:107.79804229736328,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05709179251581346},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",109.11167907714844,"Genome{fitness:109.11167907714844,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:250},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:126},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.05},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",108.19435806274414,108.19435806274414,0.33979586253160704
